"TINWSYS_IS_NUMBER","WATER_SYSTEM_NUMBER","SYSTEM_NAME","REGULATING_AGENCY","COUNTY","FEDERAL_CLASSIFICATION_TYPE","SERVICE_CONNECTIONS","POPULATION","OWNER_TYPE","PL_ADDRESS","PL_ADDRESS_CITY_NAME","PL_ADDRESS_STATE_CODE","PL_ADDRESS_ZIP_CODE","LATITUDE_MEASURE","LONGITUDE_MEASURE","SERVICE_AREA_ECONOMIC_STATUS","MHI","CALENVIRO_SCREEN_SCORE","RISK_ASSESSMENT_RESULT","CURRENT_FAILING","FINAL_SAFER_STATUS","FAILING_START_DATE","PRIMARY_MCL_VIOLATION","PRIMARY_ANALYTES","SECONDARY_MCL_VIOLATION","SECONDARY_ANALYTES","E_COLI_VIOLATION","E_COLI_ANALYTES","TREATMENT_TECHNIQUE_VIOLATION","TT_ANALYTES","MONITORING_AND_REPORTING_VIOLATION","MONITORING_AND_REPORTING_ANALYTES","SOURCE_CAPACITY_VIOLATION","SOURCE_CAPACITY_ANALYTES","TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT","WEIGHTED_WATER_QUALITY_SCORE","WATER_QUALITY_SCORE","WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","WATER_QUALITY_RISK_LEVEL","WEIGHTED_ACCESSIBILITY_SCORE","ACCESSIBILITY_SCORE","ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","ASSESSIBILITY_RISK_LEVEL","WEIGHTED_AFFORDABILITY_SCORE","AFFORDABILITY_SCORE","AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","AFFORDABILITY_RISK_LEVEL","WEIGHTED_TMF_CAPACITY_SCORE","TMF_CAPACITY_SCORE","TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","TMF_CAPACITY_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET","HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE","HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET","TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL","PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET","PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET","CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_THRESHOLD_MET","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_THRESHOLD_MET","NUMBER_OF_WATER_SOURCES_RAW_SCORE","NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE","ABESENCE_OF_INTERTIES_RISK_LEVEL","ABESENCE_OF_INTERTIES_THRESHOLD_MET","ABESENCE_OF_INTERTIES_RAW_SCORE","ABESENCE_OF_INTERTIES_WEIGHTED_SCORE","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET","SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE","SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE","EXTREME_WATER_BILL_RISK_LEVEL","EXTREME_WATER_BILL_THRESHOLD_MET","EXTREME_WATER_BILL_RAW_SCORE","EXTREME_WATER_BILL_WEIGHTED_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL","HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE","TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL","TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET","TOTAL_NET_ANNUAL_INCOME_RAW_SCORE","TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE","OPERATING_RATIO_RISK_LEVEL","OPERATING_RATIO_THRESHOLD_MET","OPERATING_RATIO_RAW_SCORE","OPERATING_RATIO_WEIGHTED_SCORE","DAYS_CASH_ON_HAND_RISK_LEVEL","DAYS_CASH_ON_HAND_THRESHOLD_MET","DAYS_CASH_ON_HAND_RAW_SCORE","DAYS_CASH_ON_HAND_WEIGHTED_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET","OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET","MONITORING_AND_REPORTING_VIOLATIONS_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE","SIGNIFICANT_DEFICIENCIES_RISK_LEVEL","SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET","SIGNIFICANT_DEFICIENCIES_RAW_SCORE","SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE","FUNDING_RECEIVED_SINCE_2017","TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017","LEGISTATIVE_DISTRICT","REGIONAL_BOARD","CREATED_DATE"
886,"CA1010021","MENDOTA, CITY OF","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",2324,11404,"LOCAL","643 QUINCE ST","MENDOTA","CA","93640",36.751962,-120.380851,"SDAC","38958","46.3048199423755","At-Risk","Not Failing","At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","5.75","1.75","0.58","0.30","MEDIUM","1.00","0.50","0.17","MEDIUM","2.00","2.00","0.35","HIGH","1.00","0.50","0.17","MEDIUM","HIGH","Yes history of E. coli presence over the last 3 years","1","3","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.25","0.50","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","UNKNOWN","UNKNOWN","MISSING","MISSING","UNKNOWN","UNKNOWN","MISSING","MISSING","HIGH","Combined score of 0.625 - 1.0","1","2.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","HIGH","Less than 1","1","1.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",2625158.00,43879.63,"State Senate District 12","Region 5 Central Valley (Fresno Office)","2025-11-02"
887,"CA1010023","CITY OF ORANGE COVE","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",1714,9525,"LOCAL","633 SIXTH STREET","ORANGE COVE","CA","93646",36.622607,-119.317172,"SDAC","31145","51.4878325029138","At-Risk","Not Failing","At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","7.50","2.50","0.83","0.33","HIGH","3.00","1.50","0.40","HIGH","2.00","2.00","0.27","HIGH","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","1.00","2.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","HIGH","50% or more sources exceed an MCL","1","3","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","VERY HIGH","1 or more occurrence(s) of bottled/hauled water reliance within the last 3 years","1","3","HIGH","Top 10% of systems most at risk of drought and water shortage","1.00","2.00","NONE","No sources within a Critically Overdrafted Basin","0","0","UNKNOWN","UNKNOWN","MISSING","MISSING","UNKNOWN","UNKNOWN","MISSING","MISSING","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 14","Region 5 Central Valley (Fresno Office)","2025-11-02"
888,"CA1010024","CWS - SELMA","DISTRICT 12 - VISALIA","FRESNO","COMMUNITY",6501,26517,"PRIVATE","2042 2nd STREET","SELMA","CA","93662",36.577853,-119.619151,"SDAC","52942","56.6056985168562","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.34","0.00","0.00","0.00","NONE","0.67","0.33","0.50","LOW","0.67","0.67","0.50","MEDIUM","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","Not Applicable","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",1559312.50,0.00,"State Senate District 14","Region 5 Central Valley (Fresno Office)","2025-11-02"
889,"CA1010025","CITY OF PARLIER","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",2711,14576,"LOCAL","1100 E. PARLIER AVENUE","PARLIER","CA","93648",36.609698,-119.540943,"SDAC","43410","59.2487827461625","At-Risk","Failing","Failing","2018-05-08","YES","1,2,3-TRICHLOROPROPANE","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","4.30","2.63","0.88","0.61","HIGH","1.00","0.50","0.23","MEDIUM","0.67","0.67","0.16","MEDIUM","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","0.63","1.26","NONE","No violation over the last three years","0","0","MEDIUM","1 Failing list occurrence over the last 3 years","0.5","1.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","HIGH","50% or more sources exceed an MCL","1","3","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",16827358.00,0.00,"State Senate District 14","Region 5 Central Valley (Fresno Office)","2025-11-02"
890,"CA1010026","PINEDALE COUNTY WATER DISTRICT","DISTRICT 12 - VISALIA","FRESNO","COMMUNITY",2120,16736,"LOCAL","480 W. BIRCH STREET","PINEDALE","CA","93650",36.838417,-119.802003,"DAC","65245","42.0984262377297","Potentially At-Risk","Not Failing","Potentially At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.51","1.01","0.34","0.40","LOW","1.00","0.50","0.40","MEDIUM","0.33","0.33","0.13","LOW","0.17","0.08","0.07","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","0.67","2.01","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",353082.00,7856.24,"State Senate District 8","Region 5 Central Valley (Fresno Office)","2025-11-02"
891,"CA1010027","REEDLEY, CITY OF","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",6363,26076,"LOCAL","845 G STREET","REEDLEY","CA","93654",36.596696,-119.447668,"SDAC","57088","49.5577337493099","At-Risk","Not Failing","At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","5.17","2.00","0.67","0.39","HIGH","1.00","0.50","0.19","MEDIUM","2.00","2.00","0.39","HIGH","0.17","0.08","0.03","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.50","1.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","HIGH","50% or more sources exceed an MCL","1","3","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","UNKNOWN","UNKNOWN","MISSING","MISSING","UNKNOWN","UNKNOWN","MISSING","MISSING","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",171123.50,161581.00,"State Senate District 14","Region 5 Central Valley (Fresno Office)","2025-11-02"
892,"CA1010028","RIVERDALE PUBLIC UTILITY DISTRICT","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",900,2756,"LOCAL","20896 Malsbary Street","RIVERDALE","CA","93656",36.430363,-119.858328,"SDAC","46750","50.2329983739957","At-Risk","Failing","Failing","2025-08-11","YES","FLUORIDE","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","5.17","2.50","0.83","0.48","HIGH","1.67","0.83","0.32","HIGH","1.00","1.00","0.19","HIGH","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","1.00","2.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","HIGH","50% or more sources exceed an MCL","1","3","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","HIGH","Top 10% of systems most at risk of drought and water shortage","1.00","2.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","UNKNOWN","UNKNOWN","MISSING","MISSING","UNKNOWN","UNKNOWN","MISSING","MISSING","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,8428.34,"State Senate District 12","Region 5 Central Valley (Fresno Office)","2025-11-02"
893,"CA1010029","CITY OF SANGER","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",7104,26357,"LOCAL","1700 7TH STREET","SANGER","CA","93657",36.701028,-119.558047,"DAC","66928","43.090429550905","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.67","0.00","0.00","0.00","NONE","0.67","0.33","0.40","LOW","0.67","0.67","0.40","MEDIUM","0.33","0.17","0.20","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","Not Applicable","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","HIGH","Less than $0","1","1.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",11249999.00,459801.36,"State Senate District 14","Region 5 Central Valley (Fresno Office)","2025-11-02"
894,"CA1010030","TRANQUILLITY IRRIGATION DISTRICT","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",340,807,"LOCAL","25390 W. Silvieria St.","TRANQUILLITY","CA","93668",36.634227,-120.264940,"SDAC","53750","45.787554292228","At-Risk","Not Failing","At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","4.17","1.50","0.50","0.36","MEDIUM","2.67","1.33","0.64","HIGH","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","HIGH","50% or more sources exceed an MCL","1","3","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","HIGH","Top 10% of systems most at risk of drought and water shortage","1.00","2.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",1382500.00,0.00,"State Senate District 12","Region 5 Central Valley (Fresno Office)","2025-11-02"
895,"CA1010034","SAN JOAQUIN, CITY OF","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",754,4060,"LOCAL","21900 W. Colorado Ave.","SAN JOAQUIN","CA","93660",36.606721,-120.186891,"SDAC","44091","45.787554292228","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.00","0.00","0.00","0.00","NONE","1.00","0.50","0.50","MEDIUM","0.33","0.33","0.17","LOW","0.67","0.33","0.34","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",38639620.00,21302.04,"State Senate District 12","Region 5 Central Valley (Fresno Office)","2025-11-02"
896,"CA1010035","DEL REY COMMUNITY SERV DIST","DISTRICT 23 - FRESNO","FRESNO","COMMUNITY",312,1491,"LOCAL","10649 E.MORRO DRIVE, P.O. BOX 186","DEL REY","CA","93616",36.658826,-119.592882,"SDAC","49792","51.0810004025339","At-Risk","Failing","Failing","2018-05-18","YES","1,2,3-TRICHLOROPROPANE","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","5.08","3.75","1.25","0.74","HIGH","1.00","0.50","0.20","MEDIUM","0.33","0.33","0.06","LOW","0.00","0.00","0.00","NONE","HIGH","Yes history of E. coli presence over the last 3 years","1","3","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.25","0.50","NONE","No violation over the last three years","0","0","MEDIUM","1 Failing list occurrence over the last 3 years","0.5","1.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","HIGH","50% or more sources exceed an MCL","1","3","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",9821601.00,0.00,"State Senate District 14","Region 5 Central Valley (Fresno Office)","2025-11-02"
